participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.language,player.control_question,player.alternative1,player.policy_choice,player.Price_UR_A,player.Price_UN_A,player.Price_O_A,player.EV_A,player.Revenue_A,player.Price_UR_B,player.Price_UN_B,player.Price_O_B,player.EV_B,player.Revenue_B,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,3,,,,,,,,,,,,,1,1,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,3,,,,,,,,,,,,,1,1,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,1,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,2,,,,,,,,,,,,,1,1,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,1,,,,,,,,,,,,,1,1,h70dkyoq,,,,,0
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,2,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,2,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,2,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,2,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,2,h70dkyoq,,,,,0
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,3,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,3,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,3,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,3,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,3,h70dkyoq,,,,,0
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,4,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,4,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,4,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,4,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,4,h70dkyoq,,,,,0
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,5,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,5,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,5,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,5,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,5,h70dkyoq,,,,,0
1,5oyyofgb,,0,5,72,A_Planet2,C2c,2022-11-23 11:30:50.664497,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,6,h70dkyoq,,,,,0
2,k2m3k5sv,,0,5,72,A_Planet2,C2c,2022-11-23 11:31:08.517284,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,6,h70dkyoq,,,,,0
3,wn0n2w9h,,0,0,72,,,,0,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,6,h70dkyoq,,,,,0
4,s0iby9dx,,0,7,72,A_Planet2,C3,2022-11-23 11:31:16.097187,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,6,h70dkyoq,,,,,0
5,yzw3h6k7,,0,6,72,A_Planet2,C2c2,2022-11-23 11:34:04.358396,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,6,h70dkyoq,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,1,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,1,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,1,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,1,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,1,i1nt9qio,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,2,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,2,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,2,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,2,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,2,i1nt9qio,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,3,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,3,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,3,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,3,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,3,i1nt9qio,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,4,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,4,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,4,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,4,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,4,i1nt9qio,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,5,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,5,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,5,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,5,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,5,i1nt9qio,,,,,0
1,04ytjph2,,0,1,66,A_Planet2,C2,2022-11-23 11:37:35.917565,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,6,i1nt9qio,,,,,0
2,heho7zsp,,0,1,66,A_Planet2,C2,2022-11-23 11:38:07.724111,1,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,6,i1nt9qio,,,,,0
3,sgjlvhns,,0,1,66,A_Planet2,C2,2022-11-23 11:38:10.996565,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,6,i1nt9qio,,,,,0
4,cb9kjhm1,,0,1,66,A_Planet2,C2,2022-11-23 11:40:14.943435,1,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,6,i1nt9qio,,,,,0
5,ov7gta7r,,0,0,66,,,,0,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,6,i1nt9qio,,,,,0
1,fqvf9ngb,,0,4,66,A_Planet2,C2c,2022-11-23 11:40:22.491225,1,,,0.0,1,,0.0,ES,3,,,,,,,,,,,,,1,1,4bzgq4l5,,,,,0
2,ha5veviy,,0,0,66,,,,0,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,1,4bzgq4l5,,,,,0
3,c2r7uet4,,0,4,66,A_Planet2,C2c,2022-11-23 11:42:00.497928,1,,,0.0,3,,0.0,ES,3,,,,,,,,,,,,,1,1,4bzgq4l5,,,,,0
4,f3ehx4ts,,0,0,66,,,,0,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,1,4bzgq4l5,,,,,0
5,g3gix239,,0,5,66,A_Planet2,C2c2,2022-11-23 11:42:36.659451,1,,,0.0,5,,0.0,ES,2,,,,,,,,,,,,,1,1,4bzgq4l5,,,,,0
1,fqvf9ngb,,0,4,66,A_Planet2,C2c,2022-11-23 11:40:22.491225,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,2,4bzgq4l5,,,,,0
2,ha5veviy,,0,0,66,,,,0,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,2,4bzgq4l5,,,,,0
3,c2r7uet4,,0,4,66,A_Planet2,C2c,2022-11-23 11:42:00.497928,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,2,4bzgq4l5,,,,,0
4,f3ehx4ts,,0,0,66,,,,0,,,0.0,4,,0.0,ES,,,,,,,,,,,,,,1,2,4bzgq4l5,,,,,0
5,g3gix239,,0,5,66,A_Planet2,C2c2,2022-11-23 11:42:36.659451,1,,,0.0,5,,0.0,ES,,,,,,,,,,,,,,1,2,4bzgq4l5,,,,,0
1,fqvf9ngb,,0,4,66,A_Planet2,C2c,2022-11-23 11:40:22.491225,1,,,0.0,1,,0.0,ES,,,,,,,,,,,,,,1,3,4bzgq4l5,,,,,0
2,ha5veviy,,0,0,66,,,,0,,,0.0,2,,0.0,ES,,,,,,,,,,,,,,1,3,4bzgq4l5,,,,,0
3,c2r7uet4,,0,4,66,A_Planet2,C2c,2022-11-23 11:42:00.497928,1,,,0.0,3,,0.0,ES,,,,,,,,,,,,,,1,3,4bzgq4l5,,,,,0
