FID	OBJECTID	Shape_Leng	Shape_Area	COD_DIS	COD_DIS_TX	DISTRI_MAY	NOMBRE	DISTRI_MT
5	6	12,806.764260700000000	6,462,175.629700000400000	2	2	ARGANZUELA	Arganzuela	ARGANZUELA
18	19	28,730.350666599999000	41,922,811.467900001000000	21	21	BARAJAS	Barajas	BARAJAS
3	4	18,083.305577800002000	14,048,316.113399999000000	11	11	CARABANCHEL	Carabanchel	CARABANCHEL
10	11	10,304.079732000000000	5,228,246.741399999700000	1	1	CENTRO	Centro	CENTRO
16	17	13,396.817075700001000	9,175,481.878009999200000	5	5	CHAMARTIN	Chamartín	CHAMARTÍN
12	13	9,019.542775789999700	4,679,185.046780000400000	7	7	CHAMBERI	Chamberí	CHAMBERÍ
17	18	21,524.700256500000000	11,425,677.819599999000000	15	15	CIUDAD LINEAL	Ciudad Lineal	CIUDAD LINEAL
20	21	94,482.145559900004000	237,838,370.396000000000000	8	8	FUENCARRAL - EL PARDO	Fuencarral - El Pardo	FUENCARRAL - EL PARDO
19	20	26,988.387846599999000	27,419,761.665300000000000	16	16	HORTALEZA	Hortaleza	HORTALEZA
6	7	28,181.055271599998000	25,427,202.596400000000000	10	10	LATINA	Latina	LATINA
15	16	41,034.343361100000000	46,531,136.201099999000000	9	9	MONCLOA - ARAVACA	Moncloa - Aravaca	MONCLOA - ARAVACA
7	8	10,814.072292000001000	6,103,167.528889999700000	14	14	MORATALAZ	Moratalaz	MORATALAZ
4	5	17,263.773815900000000	14,968,606.154300001000000	13	13	PUENTE DE VALLECAS	Puente de Vallecas	PUENTE DE VALLECAS
8	9	9,523.885328820000700	5,466,211.164359999800000	3	3	RETIRO	Retiro	RETIRO
11	12	10,866.335767000000000	5,392,403.427710000400000	4	4	SALAMANCA	Salamanca	SALAMANCA
13	14	26,780.328860400001000	22,292,392.331599999000000	20	20	SAN BLAS - CANILLEJAS	San Blas - Canillejas	SAN BLAS - CANILLEJAS
14	15	9,919.059595200000300	5,374,724.445949999600000	6	6	TETUAN	Tetuán	TETUÁN
2	3	11,878.910452200000000	7,777,717.292779999800000	12	12	USERA	Usera	USERA
9	10	34,265.390047200002000	35,266,713.272200003000000	19	19	VICALVARO	Vicálvaro	VICÁLVARO
1	2	33,480.662282199999000	51,467,238.509999998000000	18	18	VILLA DE VALLECAS	Villa de Vallecas	VILLA DE VALLECAS
0	1	18,342.361386100001000	20,187,586.343400002000000	17	17	VILLAVERDE	Villaverde	VILLAVERDE
