participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.contribution,player.disaster_happened,group.id_in_subsession,group.total_contribution,group.individual_share,group.disaster_value,subsession.round_number,subsession.num_groups_created,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,uws862ks,,0,2,3,public_goods,ResultsWaitPage,2022-12-04 12:03:06.461416,1,,,0.0,1,,0.0,34.0,,1,,,,1,,l2819ent,,,,,1
2,vy8lx19h,,0,0,3,,,,0,,,0.0,2,,0.0,,,1,,,,1,,l2819ent,,,,,1
3,w8x8rlrz,,0,0,3,,,,0,,,0.0,3,,0.0,,,1,,,,1,,l2819ent,,,,,1
4,ti2ud7gv,,0,0,3,,,,0,,,0.0,1,,0.0,,,2,,,,1,,l2819ent,,,,,1
5,0kctco22,,0,0,3,,,,0,,,0.0,2,,0.0,,,2,,,,1,,l2819ent,,,,,1
6,27mde2dv,,0,0,3,,,,0,,,0.0,3,,0.0,,,2,,,,1,,l2819ent,,,,,1
7,e4h4bnr3,,0,0,3,,,,0,,,0.0,1,,0.0,,,3,,,,1,,l2819ent,,,,,1
8,vr2vjm4i,,0,0,3,,,,0,,,0.0,2,,0.0,,,3,,,,1,,l2819ent,,,,,1
9,f5tzif07,,0,0,3,,,,0,,,0.0,3,,0.0,,,3,,,,1,,l2819ent,,,,,1
10,44kgtobx,,0,0,3,,,,0,,,0.0,1,,0.0,,,4,,,,1,,l2819ent,,,,,1
11,nbtvnkjo,,0,0,3,,,,0,,,0.0,2,,0.0,,,4,,,,1,,l2819ent,,,,,1
12,r8umrbbe,,0,0,3,,,,0,,,0.0,3,,0.0,,,4,,,,1,,l2819ent,,,,,1
13,kbo62z41,,0,0,3,,,,0,,,0.0,1,,0.0,,,5,,,,1,,l2819ent,,,,,1
14,kptkrm1g,,0,0,3,,,,0,,,0.0,2,,0.0,,,5,,,,1,,l2819ent,,,,,1
15,wll9f2tb,,0,0,3,,,,0,,,0.0,3,,0.0,,,5,,,,1,,l2819ent,,,,,1
16,8m4c3ftf,,0,0,3,,,,0,,,0.0,1,,0.0,,,6,,,,1,,l2819ent,,,,,1
17,11eddy3u,,0,0,3,,,,0,,,0.0,2,,0.0,,,6,,,,1,,l2819ent,,,,,1
18,ge74a549,,0,0,3,,,,0,,,0.0,3,,0.0,,,6,,,,1,,l2819ent,,,,,1
19,yot4e34o,,0,0,3,,,,0,,,0.0,1,,0.0,,,7,,,,1,,l2819ent,,,,,1
20,ct148cjw,,0,0,3,,,,0,,,0.0,2,,0.0,,,7,,,,1,,l2819ent,,,,,1
21,83amjc8p,,0,0,3,,,,0,,,0.0,3,,0.0,,,7,,,,1,,l2819ent,,,,,1
22,1s87h0i0,,0,0,3,,,,0,,,0.0,1,,0.0,,,8,,,,1,,l2819ent,,,,,1
23,l14zdvec,,0,0,3,,,,0,,,0.0,2,,0.0,,,8,,,,1,,l2819ent,,,,,1
24,zed337n9,,0,0,3,,,,0,,,0.0,3,,0.0,,,8,,,,1,,l2819ent,,,,,1
25,786j9xq9,,0,0,3,,,,0,,,0.0,1,,0.0,,,9,,,,1,,l2819ent,,,,,1
26,i7whg5hg,,0,0,3,,,,0,,,0.0,2,,0.0,,,9,,,,1,,l2819ent,,,,,1
27,84pcmvsg,,0,0,3,,,,0,,,0.0,3,,0.0,,,9,,,,1,,l2819ent,,,,,1
28,zyph1p5h,,0,0,3,,,,0,,,0.0,1,,0.0,,,10,,,,1,,l2819ent,,,,,1
29,h3nzp84g,,0,0,3,,,,0,,,0.0,2,,0.0,,,10,,,,1,,l2819ent,,,,,1
30,kci94cm5,,0,0,3,,,,0,,,0.0,3,,0.0,,,10,,,,1,,l2819ent,,,,,1
1,j2h4ztz3,,0,4,60,public_goods,ResultsWaitPage,2022-12-12 11:25:46.176018,1,,,0.0,1,,0.0,0.0,1,2,0.0,,0.09563463064178312,1,2,28me9pkk,,,,,0
2,yr229wxe,,0,4,60,public_goods,ResultsWaitPage,2022-12-12 11:25:46.207021,1,,,0.0,2,,0.0,0.0,1,2,0.0,,0.09563463064178312,1,2,28me9pkk,,,,,0
3,ubyf9oa4,,0,4,60,public_goods,ResultsWaitPage,2022-12-12 11:25:46.233017,1,,,0.0,3,,0.0,0.0,1,2,0.0,,0.09563463064178312,1,2,28me9pkk,,,,,0
4,kw3kdw26,,0,5,60,public_goods,Results,2022-12-12 11:25:46.261019,1,,,0.0,4,,0.0,0.0,1,2,0.0,,0.09563463064178312,1,2,28me9pkk,,,,,0
